Transcript stable ID	Transcript type	Transcript length (including UTRs and CDS)	Gene name
ENST00000396914	protein_coding	1433	CHCHD4
ENST00000308423	protein_coding	4011	AOC3
ENST00000592999	protein_coding	573	AOC3
ENST00000591562	protein_coding	2522	AOC3
ENST00000588033	protein_coding	542	AOC3
ENST00000617500	protein_coding	2392	AOC3
ENST00000613571	protein_coding	3900	AOC3
ENST00000522943	protein_coding	574	LECT2
ENST00000274507	protein_coding	1033	LECT2
ENST00000512872	protein_coding	762	LECT2
ENST00000514447	protein_coding	789	LECT2
ENST00000367837	protein_coding	7087	HBS1L
ENST00000527578	protein_coding	2618	HBS1L
ENST00000415177	protein_coding	2636	HBS1L
ENST00000367826	protein_coding	2703	HBS1L
ENST00000533274	protein_coding	2102	HBS1L
ENST00000529169	protein_coding	633	HBS1L
ENST00000529641	protein_coding	881	HBS1L
ENST00000527507	protein_coding	629	HBS1L
ENST00000314674	protein_coding	980	HBS1L
ENST00000524715	protein_coding	551	HBS1L
ENST00000529882	protein_coding	544	HBS1L
ENST00000367822	protein_coding	2793	HBS1L
ENST00000367820	protein_coding	638	HBS1L
ENST00000525067	protein_coding	582	HBS1L
ENST00000321753	protein_coding	2335	PHETA2
ENST00000419475	protein_coding	537	PHETA2
ENST00000252575	protein_coding	6402	NCAN
ENST00000588231	protein_coding	545	NCAN
ENST00000603928	protein_coding	5682	BRD3OS
ENST00000432807	protein_coding	2300	BRD3OS
ENST00000599836	protein_coding	1689	BRD3OS
ENST00000448328	protein_coding	595	GRM7
ENST00000357716	protein_coding	4149	GRM7
ENST00000486284	protein_coding	4241	GRM7
ENST00000389336	protein_coding	2901	GRM7
ENST00000445087	protein_coding	683	GRM7
ENST00000402647	protein_coding	2034	GRM7
ENST00000402061	protein_coding	525	CCDC134
ENST00000255784	protein_coding	7135	CCDC134
ENST00000620676	protein_coding	16357	VPS13D
ENST00000613099	protein_coding	16245	VPS13D
ENST00000011700	protein_coding	10969	VPS13D
ENST00000543766	protein_coding	3838	VPS13D
ENST00000406438	protein_coding	8297	SMCR8
ENST00000532317	protein_coding	3474	PICALM
ENST00000526033	protein_coding	3613	PICALM
ENST00000530692	protein_coding	963	PICALM
ENST00000393346	protein_coding	4134	PICALM
ENST00000529760	protein_coding	1153	PICALM
ENST00000528398	protein_coding	2049	PICALM
ENST00000532603	protein_coding	566	PICALM
ENST00000356360	protein_coding	1958	PICALM
ENST00000529016	protein_coding	757	PICALM
ENST00000526961	protein_coding	802	PICALM
ENST00000530542	protein_coding	905	PICALM
ENST00000531930	protein_coding	703	PICALM
ENST00000525162	protein_coding	548	PICALM
ENST00000528256	protein_coding	563	PICALM
ENST00000630913	protein_coding	2261	PICALM
ENST00000020945	protein_coding	2180	SNAI2
ENST00000396822	protein_coding	626	SNAI2
ENST00000351270	protein_coding	2985	HABP2
ENST00000542051	protein_coding	2972	HABP2
ENST00000259351	protein_coding	6330	RALGPS1
ENST00000394022	protein_coding	1672	RALGPS1
ENST00000394011	protein_coding	819	RALGPS1
ENST00000319107	protein_coding	770	RALGPS1
ENST00000373436	protein_coding	1667	RALGPS1
ENST00000373434	protein_coding	2466	RALGPS1
ENST00000438723	protein_coding	4858	RALGPS1
ENST00000424082	protein_coding	2362	RALGPS1
ENST00000388995	protein_coding	5226	FAM83G
ENST00000580115	protein_coding	426	FAM83G
ENST00000345041	protein_coding	2929	FAM83G
ENST00000335756	protein_coding	1389	CENPA
ENST00000233505	protein_coding	1299	CENPA
ENST00000420166	protein_coding	1257	HMGXB4
ENST00000216106	protein_coding	4095	HMGXB4
ENST00000455359	protein_coding	1325	HMGXB4
ENST00000514738	protein_coding	2569	CDH6
ENST00000265071	protein_coding	8540	CDH6
ENST00000305949	protein_coding	3067	MTBP
ENST00000546455	protein_coding	2310	PCED1B
ENST00000548348	protein_coding	723	PCED1B
ENST00000549500	protein_coding	796	PCED1B
ENST00000549630	protein_coding	732	PCED1B
ENST00000551777	protein_coding	476	PCED1B
ENST00000432328	protein_coding	1862	PCED1B
ENST00000023939	protein_coding	1745	RTF2
ENST00000395881	protein_coding	1572	RTF2
ENST00000357348	protein_coding	2176	RTF2
ENST00000449062	protein_coding	852	RTF2
ENST00000247001	protein_coding	2566	SUGP1
ENST00000590439	protein_coding	764	SUGP1
ENST00000334549	protein_coding	1155	KCNK18
ENST00000521789	protein_coding	993	NT5C3B
ENST00000435506	protein_coding	1408	NT5C3B
ENST00000415460	protein_coding	730	NT5C3B
ENST00000486304	protein_coding	711	NT5C3B
ENST00000451024	protein_coding	3211	NKX1-2
ENST00000392757	protein_coding	840	LHPP
ENST00000368842	protein_coding	1634	LHPP
ENST00000368839	protein_coding	1522	LHPP
ENST00000266383	protein_coding	5493	B4GALNT3
ENST00000322843	protein_coding	1926	B4GALNT3
ENST00000555463	protein_coding	789	ACYP1
ENST00000357971	protein_coding	650	ACYP1
ENST00000238618	protein_coding	580	ACYP1
ENST00000555694	protein_coding	565	ACYP1
ENST00000555135	protein_coding	639	ACYP1
ENST00000553302	protein_coding	606	ACYP1
ENST00000334082	protein_coding	5798	HOMER1
ENST00000282260	protein_coding	774	HOMER1
ENST00000508576	protein_coding	815	HOMER1
ENST00000535690	protein_coding	642	HOMER1
ENST00000394555	protein_coding	3024	EFEMP1
ENST00000355426	protein_coding	2708	EFEMP1
ENST00000634374	protein_coding	1007	EFEMP1
ENST00000438672	protein_coding	733	EFEMP1
ENST00000439193	protein_coding	572	EFEMP1
ENST00000440439	protein_coding	559	EFEMP1
ENST00000429909	protein_coding	558	EFEMP1
ENST00000452337	protein_coding	552	EFEMP1
ENST00000421664	protein_coding	547	EFEMP1
ENST00000424207	protein_coding	339	EFEMP1
ENST00000534151	protein_coding	564	ZC2HC1C
ENST00000674097	protein_coding	3178	ZC2HC1C
ENST00000674017	protein_coding	4322	ZC2HC1C
ENST00000238686	protein_coding	2249	ZC2HC1C
ENST00000439583	protein_coding	1509	ZC2HC1C
ENST00000554763	protein_coding	1746	ZC2HC1C
ENST00000524913	protein_coding	3923	ZC2HC1C
ENST00000525046	protein_coding	1697	ZC2HC1C
ENST00000674086	protein_coding	3082	ZC2HC1C
ENST00000526130	protein_coding	1551	ZC2HC1C
ENST00000674094	protein_coding	2627	ZC2HC1C
ENST00000532198	protein_coding	1606	ZC2HC1C
ENST00000368721	protein_coding	2389	DHX32
ENST00000284690	protein_coding	3050	DHX32
ENST00000415732	protein_coding	803	DHX32
ENST00000523821	protein_coding	1529	MTERF3
ENST00000287025	protein_coding	1463	MTERF3
ENST00000522822	protein_coding	1148	MTERF3
ENST00000524341	protein_coding	776	MTERF3
ENST00000517720	protein_coding	412	MTERF3
ENST00000303575	protein_coding	4109	TMED10
ENST00000382011	protein_coding	2402	MCM5
ENST00000216122	protein_coding	3458	MCM5
ENST00000416905	protein_coding	739	MCM5
ENST00000444778	protein_coding	551	MCM5
ENST00000447411	protein_coding	3791	SLC38A4
ENST00000266579	protein_coding	3983	SLC38A4
ENST00000550670	protein_coding	423	SLC38A4
ENST00000547477	protein_coding	933	SLC38A4
ENST00000546940	protein_coding	764	SLC38A4
ENST00000360542	protein_coding	1192	KRTAP26-1
ENST00000382835	protein_coding	682	KRTAP27-1
ENST00000399889	protein_coding	882	KRTAP13-2
ENST00000355459	protein_coding	792	KRTAP13-1
ENST00000334067	protein_coding	595	KRTAP15-1
ENST00000390689	protein_coding	662	KRTAP19-1
ENST00000334055	protein_coding	394	KRTAP19-2
ENST00000557004	protein_coding	1665	SERPINA4
ENST00000555095	protein_coding	1987	SERPINA4
ENST00000298841	protein_coding	1784	SERPINA4
ENST00000334063	protein_coding	552	KRTAP19-3
ENST00000640506	protein_coding	2682	FGD5
ENST00000285046	protein_coding	5903	FGD5
ENST00000457774	protein_coding	755	FGD5
ENST00000543601	protein_coding	5768	FGD5
ENST00000334058	protein_coding	342	KRTAP19-4
ENST00000334151	protein_coding	485	KRTAP19-5
ENST00000648167	protein_coding	1665	HTRA1
ENST00000368984	protein_coding	2091	HTRA1
ENST00000420892	protein_coding	1214	HTRA1
ENST00000334046	protein_coding	330	KRTAP19-6
ENST00000334849	protein_coding	440	KRTAP19-7
ENST00000382830	protein_coding	293	KRTAP22-2
ENST00000391624	protein_coding	636	KRTAP6-3
ENST00000265342	protein_coding	5396	FSTL4
ENST00000510685	protein_coding	716	FSTL4
ENST00000621681	protein_coding	2660	FSTL4
ENST00000334680	protein_coding	296	KRTAP22-1
ENST00000334664	protein_coding	275	KRTAP20-1
ENST00000382828	protein_coding	224	KRTAP20-4
ENST00000330798	protein_coding	414	KRTAP20-2
ENST00000382826	protein_coding	273	KRTAP20-3
ENST00000444335	protein_coding	253	KRTAP21-3
ENST00000333892	protein_coding	466	KRTAP21-2
ENST00000335093	protein_coding	414	KRTAP21-1
ENST00000334160	protein_coding	208	KRTAP23-1
ENST00000390690	protein_coding	547	KRTAP13-3
ENST00000361171	protein_coding	4838	MVB12B
ENST00000489637	protein_coding	2666	MVB12B
ENST00000402437	protein_coding	770	MVB12B
ENST00000286827	protein_coding	7200	TIAM1
ENST00000423206	protein_coding	523	TIAM1
ENST00000541036	protein_coding	7218	TIAM1
ENST00000698169	protein_coding	7317	TIAM1
ENST00000636887	protein_coding	4160	TIAM1
ENST00000455508	protein_coding	4654	TIAM1
ENST00000313655	protein_coding	2198	DSCC1
ENST00000554220	protein_coding	586	SERPINA5
ENST00000553780	protein_coding	2071	SERPINA5
ENST00000554866	protein_coding	2211	SERPINA5
ENST00000556775	protein_coding	829	SERPINA5
ENST00000553511	protein_coding	574	SERPINA5
ENST00000329597	protein_coding	2278	SERPINA5
ENST00000554633	protein_coding	533	SERPINA5
ENST00000555681	protein_coding	618	SERPINA5
ENST00000554276	protein_coding	2210	SERPINA5
ENST00000557598	protein_coding	607	SERPINA5
ENST00000556064	protein_coding	462	SERPINA5
ENST00000412352	protein_coding	1083	ETFBKMT
ENST00000395763	protein_coding	2055	ETFBKMT
ENST00000538463	protein_coding	1862	ETFBKMT
ENST00000357721	protein_coding	6128	ETFBKMT
ENST00000539633	protein_coding	554	ETFBKMT
ENST00000538391	protein_coding	1067	ETFBKMT
ENST00000371328	protein_coding	663	FAM209A
ENST00000306185	protein_coding	1260	MRPL13
ENST00000518918	protein_coding	633	MRPL13
ENST00000371325	protein_coding	694	FAM209B
ENST00000360314	protein_coding	2619	CASS4
ENST00000679887	protein_coding	4195	CASS4
ENST00000434344	protein_coding	2888	CASS4
ENST00000679529	protein_coding	2522	CASS4
ENST00000291744	protein_coding	1062	FCN2
ENST00000350339	protein_coding	943	FCN2
ENST00000350881	protein_coding	3222	THBS4
ENST00000511733	protein_coding	3094	THBS4
ENST00000281471	protein_coding	1952	AMN1
ENST00000537562	protein_coding	1538	AMN1
ENST00000541931	protein_coding	880	AMN1
ENST00000536761	protein_coding	1025	AMN1
ENST00000542781	protein_coding	879	AMN1
ENST00000535408	protein_coding	796	AMN1
ENST00000537960	protein_coding	397	AMN1
ENST00000506446	protein_coding	403	AMN1
ENST00000457428	protein_coding	571	AMN1
ENST00000406846	protein_coding	2762	FSHR
ENST00000304421	protein_coding	2176	FSHR
ENST00000454032	protein_coding	851	FSHR
ENST00000348639	protein_coding	2030	CHRNA3
ENST00000326828	protein_coding	3015	CHRNA3
ENST00000559080	protein_coding	535	CHRNA3
ENST00000514819	protein_coding	1406	BORCS8-MEF2B
ENST00000378106	protein_coding	5449	NDUFAF5
ENST00000463598	protein_coding	991	NDUFAF5
ENST00000328252	protein_coding	10971	PAPPA
ENST00000374941	protein_coding	2051	RRAGB
ENST00000414239	protein_coding	644	RRAGB
ENST00000262850	protein_coding	1573	RRAGB
ENST00000368653	protein_coding	11417	MKI67
ENST00000368654	protein_coding	12716	MKI67
ENST00000412893	protein_coding	921	HMOX1
ENST00000216117	protein_coding	1554	HMOX1
ENST00000677931	protein_coding	1062	HMOX1
ENST00000679074	protein_coding	1454	HMOX1
ENST00000678411	protein_coding	1088	HMOX1
ENST00000259526	protein_coding	2463	CCN3
ENST00000393080	protein_coding	1581	SERPINA3
ENST00000555820	protein_coding	981	SERPINA3
ENST00000393078	protein_coding	1576	SERPINA3
ENST00000467132	protein_coding	2660	SERPINA3
ENST00000482740	protein_coding	2420	SERPINA3
ENST00000621603	protein_coding	639	SERPINA3
ENST00000505678	protein_coding	708	NNT
ENST00000512422	protein_coding	754	NNT
ENST00000264663	protein_coding	6483	NNT
ENST00000670904	protein_coding	4483	NNT
ENST00000653251	protein_coding	4046	NNT
ENST00000660752	protein_coding	3582	NNT
ENST00000654405	protein_coding	4331	NNT
ENST00000344920	protein_coding	6421	NNT
ENST00000657172	protein_coding	3902	NNT
ENST00000512996	protein_coding	4288	NNT
ENST00000671668	protein_coding	4008	NNT
ENST00000662525	protein_coding	4422	NNT
ENST00000669601	protein_coding	4440	NNT
ENST00000656666	protein_coding	3660	NNT
ENST00000515208	protein_coding	747	NNT
ENST00000375011	protein_coding	2764	GALNT12
ENST00000592383	protein_coding	987	G6PC1
ENST00000253801	protein_coding	4164	G6PC1
ENST00000585489	protein_coding	1097	G6PC1
ENST00000217957	protein_coding	3033	VSIG1
ENST00000458383	protein_coding	570	VSIG1
ENST00000415430	protein_coding	3236	VSIG1
ENST00000297459	protein_coding	6283	TMEM74
ENST00000517956	protein_coding	6744	FBXO32
ENST00000443022	protein_coding	1227	FBXO32
ENST00000336156	protein_coding	6338	KIAA0930
ENST00000423262	protein_coding	2218	KIAA0930
ENST00000251993	protein_coding	2723	KIAA0930
ENST00000391627	protein_coding	2623	KIAA0930
ENST00000414854	protein_coding	556	KIAA0930
ENST00000424508	protein_coding	625	KIAA0930
ENST00000496226	protein_coding	589	KIAA0930
ENST00000492273	protein_coding	403	KIAA0930
ENST00000322054	protein_coding	4825	EHD3
ENST00000378482	protein_coding	1742	TSPAN7
ENST00000286824	protein_coding	1270	TSPAN7
ENST00000216416	protein_coding	4735	CNIH1
ENST00000395573	protein_coding	1233	CNIH1
ENST00000553660	protein_coding	785	CNIH1
ENST00000557690	protein_coding	838	CNIH1
ENST00000556113	protein_coding	523	CNIH1
ENST00000336308	protein_coding	2770	STARD3
ENST00000544210	protein_coding	1666	STARD3
ENST00000581894	protein_coding	591	STARD3
ENST00000394250	protein_coding	1949	STARD3
ENST00000579479	protein_coding	560	STARD3
ENST00000577248	protein_coding	571	STARD3
ENST00000580611	protein_coding	1989	STARD3
ENST00000583718	protein_coding	550	STARD3
ENST00000580331	protein_coding	558	STARD3
ENST00000583419	protein_coding	579	STARD3
ENST00000443521	protein_coding	673	STARD3
ENST00000609274	protein_coding	1717	RASAL3
ENST00000343625	protein_coding	3266	RASAL3
ENST00000599694	protein_coding	1473	RASAL3
ENST00000371754	protein_coding	5235	ZNFX1
ENST00000371752	protein_coding	7212	ZNFX1
ENST00000396105	protein_coding	7209	ZNFX1
ENST00000371744	protein_coding	2964	ZNFX1
ENST00000455070	protein_coding	2122	ZNFX1
ENST00000334464	protein_coding	9672	PDZD8
ENST00000356056	protein_coding	12478	MYO9A
ENST00000561618	protein_coding	4784	MYO9A
ENST00000568042	protein_coding	1922	MYO9A
ENST00000564571	protein_coding	8111	MYO9A
ENST00000568481	protein_coding	582	MYO9A
ENST00000566885	protein_coding	5111	MYO9A
ENST00000569314	protein_coding	560	MYO9A
ENST00000564931	protein_coding	564	MYO9A
ENST00000444904	protein_coding	7749	MYO9A
ENST00000424560	protein_coding	4008	MYO9A
ENST00000634734	protein_coding	3820	BAG1
ENST00000379704	protein_coding	1128	BAG1
ENST00000473464	protein_coding	551	BAG1
ENST00000473781	protein_coding	681	BAG1
ENST00000635077	protein_coding	658	BAG1
ENST00000488499	protein_coding	485	BAG1
ENST00000238714	protein_coding	7348	PAPOLG
ENST00000412217	protein_coding	6074	PAPOLG
ENST00000368894	protein_coding	687	FAM24A
ENST00000532135	protein_coding	734	TEX36
ENST00000526819	protein_coding	438	TEX36
ENST00000368821	protein_coding	941	TEX36
ENST00000260102	protein_coding	1729	MRPL15
ENST00000519831	protein_coding	601	MRPL15
ENST00000522521	protein_coding	853	MRPL15
ENST00000396992	protein_coding	2489	CFP
ENST00000247153	protein_coding	1713	CFP
ENST00000377005	protein_coding	1435	CFP
ENST00000469388	protein_coding	928	CFP
ENST00000652548	protein_coding	4920	EEF1AKMT2
ENST00000368836	protein_coding	3599	EEF1AKMT2
ENST00000307296	protein_coding	5884	PDCD6IP
ENST00000413073	protein_coding	566	PDCD6IP
ENST00000457054	protein_coding	5962	PDCD6IP
ENST00000554908	protein_coding	6721	GMFB
ENST00000358056	protein_coding	4085	GMFB
ENST00000616146	protein_coding	4125	GMFB
ENST00000628554	protein_coding	639	GMFB
ENST00000553333	protein_coding	591	GMFB
ENST00000382119	protein_coding	907	NANOGNB
ENST00000640040	protein_coding	824	NANOGNB
ENST00000597314	protein_coding	563	ZNF85
ENST00000328178	protein_coding	2333	ZNF85
ENST00000601924	protein_coding	506	ZNF85
ENST00000300540	protein_coding	1531	ZNF85
ENST00000595854	protein_coding	556	ZNF85
ENST00000601284	protein_coding	483	ZNF85
ENST00000599885	protein_coding	549	ZNF85
ENST00000596476	protein_coding	1259	ZNF85
ENST00000345030	protein_coding	1689	ZNF85
ENST00000400358	protein_coding	6701	SGSM1
ENST00000400359	protein_coding	4317	SGSM1
ENST00000610372	protein_coding	5991	SGSM1
ENST00000380637	protein_coding	1014	SH3BGR
ENST00000380634	protein_coding	816	SH3BGR
ENST00000458295	protein_coding	812	SH3BGR
ENST00000440288	protein_coding	585	SH3BGR
ENST00000380631	protein_coding	780	SH3BGR
ENST00000333634	protein_coding	1109	SH3BGR
ENST00000452550	protein_coding	865	SH3BGR
ENST00000423596	protein_coding	246	SH3BGR
ENST00000698170	protein_coding	765	SH3BGR
ENST00000447939	protein_coding	512	SH3BGR
ENST00000311172	protein_coding	4340	FCHSD2
ENST00000409314	protein_coding	4509	FCHSD2
ENST00000409418	protein_coding	4710	FCHSD2
ENST00000409263	protein_coding	932	FCHSD2
ENST00000458644	protein_coding	2215	FCHSD2
ENST00000409853	protein_coding	1867	FCHSD2
ENST00000543644	protein_coding	321	FCHSD2
ENST00000422375	protein_coding	587	FCHSD2
ENST00000025399	protein_coding	1442	STRAP
ENST00000419869	protein_coding	1874	STRAP
ENST00000538718	protein_coding	648	STRAP
ENST00000371142	protein_coding	6100	TM9SF3
ENST00000443638	protein_coding	868	TM9SF3
ENST00000331715	protein_coding	1067	OLFML2A
ENST00000373580	protein_coding	6567	OLFML2A
ENST00000288815	protein_coding	5964	OLFML2A
ENST00000644876	protein_coding	4635	DDX3X
ENST00000629496	protein_coding	5036	DDX3X
ENST00000625837	protein_coding	3237	DDX3X
ENST00000626301	protein_coding	3013	DDX3X
ENST00000457138	protein_coding	4786	DDX3X
ENST00000643821	protein_coding	1434	DDX3X
ENST00000441189	protein_coding	4122	DDX3X
ENST00000644513	protein_coding	4245	DDX3X
ENST00000644109	protein_coding	4409	DDX3X
ENST00000646122	protein_coding	4435	DDX3X
ENST00000644074	protein_coding	4620	DDX3X
ENST00000399959	protein_coding	4632	DDX3X
ENST00000646319	protein_coding	4554	DDX3X
ENST00000644073	protein_coding	4349	DDX3X
ENST00000615313	protein_coding	570	DDX3X
ENST00000644677	protein_coding	4457	DDX3X
ENST00000642322	protein_coding	4273	DDX3X
ENST00000646107	protein_coding	4231	DDX3X
ENST00000646627	protein_coding	2469	DDX3X
ENST00000642424	protein_coding	5789	DDX3X
ENST00000646679	protein_coding	4693	DDX3X
ENST00000616050	protein_coding	844	DDX3X
ENST00000611968	protein_coding	782	DDX3X
ENST00000319286	protein_coding	3278	ZNF572
ENST00000635857	protein_coding	912	LIN28B
ENST00000637759	protein_coding	2635	LIN28B
ENST00000345080	protein_coding	5446	LIN28B
ENST00000360204	protein_coding	1120	ZNF66
ENST00000344519	protein_coding	4539	ZNF66
ENST00000594534	protein_coding	757	ZNF66
ENST00000316963	protein_coding	2515	LYPLA1
ENST00000343231	protein_coding	1308	LYPLA1
ENST00000518546	protein_coding	746	LYPLA1
ENST00000522007	protein_coding	250	LYPLA1
ENST00000521352	protein_coding	580	LYPLA1
ENST00000521898	protein_coding	344	LYPLA1
ENST00000618914	protein_coding	2482	LYPLA1
ENST00000618741	protein_coding	2526	LYPLA1
ENST00000221671	protein_coding	3346	C19orf44
ENST00000594035	protein_coding	2609	C19orf44
ENST00000599550	protein_coding	569	C19orf44
ENST00000594813	protein_coding	565	C19orf44
ENST00000601288	protein_coding	439	C19orf44
ENST00000368444	protein_coding	785	FABP7
ENST00000356535	protein_coding	2086	FABP7
ENST00000554335	protein_coding	7157	SAMD4A
ENST00000251091	protein_coding	6565	SAMD4A
ENST00000392067	protein_coding	6833	SAMD4A
ENST00000631086	protein_coding	6677	SAMD4A
ENST00000555192	protein_coding	1337	SAMD4A
ENST00000307584	protein_coding	3098	CAVIN4
ENST00000229633	protein_coding	3325	HINT3
ENST00000644251	protein_coding	1531	GATD3
ENST00000427803	protein_coding	1077	GATD3
ENST00000348499	protein_coding	1506	GATD3
ENST00000291577	protein_coding	1584	GATD3
ENST00000389690	protein_coding	694	GATD3
ENST00000646873	protein_coding	2265	GATD3
ENST00000419699	protein_coding	674	GATD3
ENST00000449622	protein_coding	1401	GATD3
ENST00000371610	protein_coding	4579	PARD6B
ENST00000396039	protein_coding	522	PARD6B
ENST00000369415	protein_coding	4923	RRAGD
ENST00000359203	protein_coding	4042	RRAGD
ENST00000223500	protein_coding	1901	CHMP5
ENST00000419016	protein_coding	1957	CHMP5
ENST00000244051	protein_coding	5112	MOCS3
ENST00000316554	protein_coding	2283	CCDC184
ENST00000436624	protein_coding	3154	ZNF502
ENST00000296091	protein_coding	3270	ZNF502
ENST00000411443	protein_coding	593	ZNF502
ENST00000449836	protein_coding	3173	ZNF502
ENST00000310450	protein_coding	920	NAA20
ENST00000334982	protein_coding	1040	NAA20
ENST00000398602	protein_coding	1604	NAA20
ENST00000229003	protein_coding	2332	ENDOU
ENST00000422538	protein_coding	2378	ENDOU
ENST00000545824	protein_coding	1513	ENDOU
ENST00000259455	protein_coding	5499	GABBR2
ENST00000634457	protein_coding	550	GABBR2
ENST00000637717	protein_coding	513	GABBR2
ENST00000269703	protein_coding	2609	CYP4F22
ENST00000601005	protein_coding	2445	CYP4F22
ENST00000536226	protein_coding	4015	CRNKL1
ENST00000377327	protein_coding	4370	CRNKL1
ENST00000377340	protein_coding	4406	CRNKL1
ENST00000448743	protein_coding	557	HADHB
ENST00000317799	protein_coding	1997	HADHB
ENST00000405867	protein_coding	1588	HADHB
ENST00000425035	protein_coding	696	HADHB
ENST00000412805	protein_coding	574	HADHB
ENST00000537713	protein_coding	2142	HADHB
ENST00000545822	protein_coding	1870	HADHB
ENST00000531410	protein_coding	2926	EPB41L2
ENST00000528282	protein_coding	3663	EPB41L2
ENST00000530481	protein_coding	3914	EPB41L2
ENST00000445890	protein_coding	3677	EPB41L2
ENST00000337057	protein_coding	4380	EPB41L2
ENST00000530757	protein_coding	4360	EPB41L2
ENST00000392427	protein_coding	3369	EPB41L2
ENST00000368128	protein_coding	4456	EPB41L2
ENST00000527411	protein_coding	4186	EPB41L2
ENST00000524581	protein_coding	3090	EPB41L2
ENST00000525271	protein_coding	2568	EPB41L2
ENST00000525193	protein_coding	2121	EPB41L2
ENST00000527659	protein_coding	2436	EPB41L2
ENST00000529208	protein_coding	3023	EPB41L2
ENST00000527017	protein_coding	727	EPB41L2
ENST00000527423	protein_coding	962	EPB41L2
ENST00000456097	protein_coding	1138	EPB41L2
ENST00000525198	protein_coding	981	EPB41L2
ENST00000639623	protein_coding	3395	EPB41L2
ENST00000529709	protein_coding	585	EPB41L2
ENST00000532499	protein_coding	591	EPB41L2
ENST00000526983	protein_coding	552	EPB41L2
ENST00000531356	protein_coding	588	EPB41L2
ENST00000530707	protein_coding	565	EPB41L2
ENST00000628542	protein_coding	4247	EPB41L2
ENST00000302392	protein_coding	977	TMEM42
ENST00000370854	protein_coding	1798	ZDHHC16
ENST00000414567	protein_coding	989	ZDHHC16
ENST00000370846	protein_coding	1280	ZDHHC16
ENST00000352634	protein_coding	1718	ZDHHC16
ENST00000353979	protein_coding	1647	ZDHHC16
ENST00000370842	protein_coding	1877	ZDHHC16
ENST00000345745	protein_coding	1519	ZDHHC16
ENST00000433086	protein_coding	888	ZDHHC16
ENST00000420089	protein_coding	1362	ZDHHC16
ENST00000417044	protein_coding	1325	ZDHHC16
ENST00000393760	protein_coding	1977	ZDHHC16
ENST00000289753	protein_coding	3800	HTR6
ENST00000340398	protein_coding	1114	H3-5
ENST00000539409	protein_coding	2532	SINHCAF
ENST00000337682	protein_coding	2941	SINHCAF
ENST00000454658	protein_coding	1555	SINHCAF
ENST00000542983	protein_coding	738	SINHCAF
ENST00000539004	protein_coding	459	SINHCAF
ENST00000543615	protein_coding	669	SINHCAF
ENST00000272902	protein_coding	2147	SUMF1
ENST00000383843	protein_coding	1447	SUMF1
ENST00000458465	protein_coding	1102	SUMF1
ENST00000405420	protein_coding	1128	SUMF1
ENST00000621833	protein_coding	3584	GUCD1
ENST00000407471	protein_coding	3482	GUCD1
ENST00000435822	protein_coding	3435	GUCD1
ENST00000404664	protein_coding	1606	GUCD1
ENST00000447813	protein_coding	895	GUCD1
ENST00000402766	protein_coding	865	GUCD1
ENST00000407973	protein_coding	773	GUCD1
ENST00000294435	protein_coding	625	RBP7
ENST00000436027	protein_coding	878	YJEFN3
ENST00000514277	protein_coding	979	YJEFN3
ENST00000360586	protein_coding	6019	WDHD1
ENST00000420358	protein_coding	3722	WDHD1
ENST00000455555	protein_coding	768	WDHD1
ENST00000377411	protein_coding	5197	GPR157
ENST00000465853	protein_coding	198	GPR157
ENST00000650433	protein_coding	2000	ZBTB40
ENST00000400239	protein_coding	1855	ZBTB40
ENST00000375647	protein_coding	8701	ZBTB40
ENST00000404138	protein_coding	8992	ZBTB40
ENST00000374651	protein_coding	8368	ZBTB40
ENST00000311907	protein_coding	1990	F2
ENST00000530231	protein_coding	1849	F2
ENST00000442468	protein_coding	1031	F2
ENST00000538155	protein_coding	1378	INTS13
ENST00000261191	protein_coding	2634	INTS13
ENST00000536232	protein_coding	460	INTS13
ENST00000538727	protein_coding	552	INTS13
ENST00000544548	protein_coding	875	INTS13
ENST00000537336	protein_coding	560	INTS13
ENST00000334068	protein_coding	807	KRTAP13-4
ENST00000334897	protein_coding	313	KRTAP6-2
ENST00000329122	protein_coding	500	KRTAP6-1
ENST00000349748	protein_coding	3045	CAPN3
ENST00000397163	protein_coding	3315	CAPN3
ENST00000357568	protein_coding	3130	CAPN3
ENST00000397200	protein_coding	1643	CAPN3
ENST00000569827	protein_coding	908	CAPN3
ENST00000567071	protein_coding	563	CAPN3
ENST00000674093	protein_coding	1984	CAPN3
ENST00000569136	protein_coding	1148	CAPN3
ENST00000673936	protein_coding	1317	CAPN3
ENST00000673890	protein_coding	1416	CAPN3
ENST00000674149	protein_coding	1707	CAPN3
ENST00000673771	protein_coding	1418	CAPN3
ENST00000337571	protein_coding	1304	CAPN3
ENST00000673743	protein_coding	1526	CAPN3
ENST00000674146	protein_coding	1733	CAPN3
ENST00000674119	protein_coding	1170	CAPN3
ENST00000673692	protein_coding	861	CAPN3
ENST00000674052	protein_coding	2354	CAPN3
ENST00000561817	protein_coding	915	CAPN3
ENST00000674018	protein_coding	1691	CAPN3
ENST00000397204	protein_coding	1263	CAPN3
ENST00000673886	protein_coding	2078	CAPN3
ENST00000674139	protein_coding	4597	CAPN3
ENST00000673851	protein_coding	1688	CAPN3
ENST00000673839	protein_coding	897	CAPN3
ENST00000673978	protein_coding	1623	CAPN3
ENST00000673928	protein_coding	1437	CAPN3
ENST00000674041	protein_coding	725	CAPN3
