pb	tx_cat	pr_splice_cat	tx_subcat	pr_splice_subcat	tx_tss_diff	tx_tts_diff	tx_tss_gene_diff	tx_tts_gene_diff	pr_nterm_diff	pr_cterm_diff	pr_nterm_gene_diff	pr_cterm_gene_diff	tx_transcripts	pr_transcripts	tx_gene	pr_gene	tx_num_exons	pr_num_exons	is_nmd	num_junc_after_stop_codon	num_nt_after_stop_codon	tx_5hang	tx_3hang	pr_nhang	pr_chang
ENST00000469578.2	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000469578.2	ENST00000469578.2	ENSG00000090104.12	ENSG00000090104.12	4	4	FALSE	0	527	0	0	0	0
ENST00000498352.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	1599	0	-1599	ENST00000498352.1	ENST00000469578.2	ENSG00000090104.12	ENSG00000090104.12	4	3	TRUE	1	2359	0	0	0	14
ENST00000483295.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	1325	0	-1325	ENST00000483295.1	ENST00000235382.7	ENSG00000116741.8	ENSG00000116741.8	2	2	FALSE	0	664	0	0	0	1
ENST00000367450.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	36	0	0	0	ENST00000367450.7	ENST00000367450.7	ENSG00000116750.14	ENSG00000116750.14	12	12	FALSE	0	287	0	0	-36	0
ENST00000367451.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367451.8	ENST00000367451.8	ENSG00000116750.14	ENSG00000116750.14	12	12	FALSE	0	281	0	0	0	0
ENST00000367454.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367454.6	ENST00000367454.6	ENSG00000116750.14	ENSG00000116750.14	11	11	FALSE	0	4200	0	0	0	0
ENST00000367455.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	-201	0	0	0	ENST00000367455.8	ENST00000367455.8	ENSG00000116750.14	ENSG00000116750.14	11	11	FALSE	0	4139	0	0	201	0
ENST00000367449.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367449.5	ENST00000367449.5	ENSG00000116750.14	ENSG00000116750.14	11	11	FALSE	0	559	0	0	0	0
ENST00000367446.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367446.7	ENST00000400968.7	ENSG00000116747.13	ENSG00000116747.13	9	8	FALSE	0	1467	0	0	0	0
ENST00000432079.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	1252	0	-1252	0	0	0	0	ENST00000432079.5	ENST00000432079.5	ENSG00000116747.13	ENSG00000116747.13	8	6	FALSE	0	5807	0	-1252	0	0
ENST00000367439.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367439.8	ENST00000608166.2	ENSG00000023572.10	ENSG00000023572.10	4	4	FALSE	0	190	0	0	0	0
ENST00000367435.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367435.5	ENST00000367435.5	ENSG00000134371.14	ENSG00000134371.14	17	17	FALSE	0	4276	0	0	0	0
ENST00000649613.1	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	90242	0	90242	0	ENST00000649613.1	ENST00000367435.5	ENSG00000134371.14	ENSG00000134371.14	8	5	FALSE	0	851	0	0	-53	0
ENST00000367429.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367429.9	ENST00000367429.9	ENSG00000000971.16	ENSG00000000971.16	22	22	FALSE	0	269	0	0	0	0
ENST00000367405.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367405.5	ENST00000367405.5	ENSG00000177888.8	ENSG00000177888.8	11	10	FALSE	0	5868	0	0	0	0
ENST00000367399.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367399.6	ENST00000367399.6	ENSG00000134376.17	ENSG00000134376.17	10	10	FALSE	0	3	0	0	0	0
ENST00000367400.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367400.8	ENST00000367400.8	ENSG00000134376.17	ENSG00000134376.17	12	12	FALSE	0	740	0	0	0	0
ENST00000475659.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	85325	0	-81586	ENST00000475659.1	ENST00000638467.1	ENSG00000134376.17	ENSG00000134376.17	5	5	FALSE	0	1175	0	0	0	77
ENST00000367397.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	-66	3739	-66	0	ENST00000367397.1	ENST00000681519.1	ENSG00000134376.17	ENSG00000134376.17	6	6	FALSE	0	6197	0	0	66	1
ENST00000681519.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	-66	0	-66	0	ENST00000681519.1	ENST00000681519.1	ENSG00000134376.17	ENSG00000134376.17	7	7	FALSE	0	132	0	0	66	0
ENST00000463124.1	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	228404	-34	188886	34	ENST00000463124.1	ENST00000294737.11	ENSG00000213047.13	ENSG00000213047.13	2	2	FALSE	0	384	0	0	-22	34
ENST00000468589.5	full-splice_match	novel_not_in_catalog	multi-exon	at_least_one_novel_splicesite	0	0	0	0	NA	NA	0	-92878	ENST00000468589.5	novel	ENSG00000213047.13	ENSG00000213047.13	3	3	FALSE	0	1913	0	0		
ENST00000367387.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367387.6	ENST00000367387.6	ENSG00000143355.16	ENSG00000143355.16	5	5	FALSE	0	6674	0	0	0	0
ENST00000367385.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367385.9	ENST00000538004.5	ENSG00000151414.15	ENSG00000151414.15	10	9	FALSE	0	3208	0	0	0	0
ENST00000331314.11	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000331314.11	ENST00000331314.11	ENSG00000118197.14	ENSG00000118197.14	8	7	FALSE	0	372	0	0	0	0
ENST00000236925.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000236925.8	ENST00000236925.8	ENSG00000118200.15	ENSG00000118200.15	18	18	FALSE	0	2694	0	0	0	0
ENST00000360529.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000360529.9	ENST00000360529.9	ENSG00000116852.15	ENSG00000116852.15	34	34	FALSE	0	559	0	0	0	0
ENST00000367332.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367332.5	ENST00000367332.5	ENSG00000116857.17	ENSG00000116857.17	6	5	FALSE	0	986	0	0	0	0
ENST00000367333.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367333.6	ENST00000367330.6	ENSG00000116857.17	ENSG00000116857.17	6	5	FALSE	0	1015	0	0	0	0
ENST00000497582.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000497582.5	ENST00000497582.5	ENSG00000116857.17	ENSG00000116857.17	5	4	TRUE	1	781	0	0	0	0
ENST00000367324.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367324.8	ENST00000367324.8	ENSG00000081277.13	ENSG00000081277.13	14	13	TRUE	1	3148	0	0	0	0
ENST00000362011.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	282	0	168	0	0	0	0	ENST00000362011.7	ENST00000362011.7	ENSG00000198892.7	ENSG00000198892.7	5	5	FALSE	0	559	0	-282	0	0
ENST00000295640.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000295640.9	ENST00000295640.9	ENSG00000176393.11	ENSG00000176393.11	11	11	FALSE	0	449	0	0	0	0
ENST00000471105.5	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	14668	0	1163	0	ENST00000471105.5	ENST00000295640.9	ENSG00000176393.11	ENSG00000176393.11	10	7	FALSE	0	1013	0	0	-16	0
ENST00000367284.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	663	0	511	0	0	0	0	ENST00000367284.10	ENST00000359651.7	ENSG00000163435.16	ENSG00000163435.16	9	8	FALSE	0	1328	0	-663	0	0
ENST00000367282.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367282.6	ENST00000367282.6	ENSG00000170075.10	ENSG00000170075.10	2	2	FALSE	0	5086	0	0	0	0
ENST00000650569.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000650569.1	ENST00000650569.1	ENSG00000117139.18	ENSG00000117139.18	26	26	FALSE	0	1705	0	0	0	0
ENST00000367262.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	334	0	-334	0	0	0	0	ENST00000367262.4	ENST00000367262.4	ENSG00000183155.5	ENSG00000183155.5	2	2	FALSE	0	2416	0	-334	0	0
ENST00000367261.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367261.8	ENST00000367261.8	ENSG00000117153.16	ENSG00000117153.16	12	11	FALSE	0	1607	0	0	0	0
ENST00000340990.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000340990.10	ENST00000340990.10	ENSG00000159346.13	ENSG00000159346.13	8	7	FALSE	0	966	0	0	0	0
ENST00000367249.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367249.9	ENST00000367249.9	ENSG00000159348.13	ENSG00000159348.13	9	9	FALSE	0	709	0	0	0	0
ENST00000482572.5	full-splice_match	novel_in_catalog	multi-exon	combination_of_known_splicesites	0	0	0	0	NA	NA	0	-2565	ENST00000482572.5	novel	ENSG00000159348.13	ENSG00000159348.13	8	4	TRUE	4	584	0	0		
ENST00000367235.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367235.1	ENST00000640524.1	ENSG00000163485.17	ENSG00000163485.17	3	2	FALSE	0	1844	0	0	0	0
ENST00000357681.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000357681.10	ENST00000357681.10	ENSG00000058668.15	ENSG00000058668.15	21	20	FALSE	0	5082	0	0	0	0
ENST00000308302.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000308302.4	ENST00000308302.4	ENSG00000174567.8	ENSG00000174567.8	5	5	FALSE	0	380	0	0	0	0
ENST00000367188.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367188.5	ENST00000367188.5	ENSG00000158615.10	ENSG00000158615.10	2	2	FALSE	0	3120	0	0	0	0
ENST00000447819.1	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	12426	0	12426	0	ENST00000447819.1	ENST00000447819.1	ENSG00000163531.17	ENSG00000163531.17	4	3	FALSE	0	2479	0	0	-53	0
ENST00000495538.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000495538.5	ENST00000545499.5	ENSG00000133069.17	ENSG00000133069.17	5	4	FALSE	0	1687	0	0	0	0
ENST00000367155.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367155.8	ENST00000367155.8	ENSG00000162873.15	ENSG00000162873.15	6	5	FALSE	0	1920	0	0	0	0
ENST00000429964.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000429964.7	ENST00000360066.6	ENSG00000117266.16	ENSG00000117266.16	16	15	FALSE	0	1564	0	0	0	0
ENST00000367147.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367147.9	ENST00000367147.9	ENSG00000174514.13	ENSG00000174514.13	10	10	FALSE	0	2516	0	0	0	0
ENST00000539267.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000539267.5	ENST00000539267.5	ENSG00000174514.13	ENSG00000174514.13	9	8	TRUE	1	563	0	0	0	0
ENST00000465651.1	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	12565	0	12397	0	ENST00000465651.1	ENST00000536357.2	ENSG00000174514.13	ENSG00000174514.13	4	4	FALSE	0	306	0	0	-111	0
ENST00000235932.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000235932.8	ENST00000367139.8	ENSG00000117280.13	ENSG00000117280.13	6	5	FALSE	0	1114	0	0	0	0
ENST00000437324.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000437324.6	ENST00000437324.6	ENSG00000117280.13	ENSG00000117280.13	5	3	FALSE	0	913	0	0	0	0
ENST00000446390.6	full-splice_match	full-splice_match	multi-exon	multi-exon	62	0	-20	0	0	0	0	0	ENST00000446390.6	ENST00000446390.6	ENSG00000117280.13	ENSG00000117280.13	4	4	FALSE	0	842	-62	0	0	0
ENST00000617070.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000617070.5	ENST00000617070.5	ENSG00000276600.5	ENSG00000276600.5	6	5	FALSE	0	2273	0	0	0	0
ENST00000573034.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000573034.8	ENST00000573034.8	ENSG00000266028.8	ENSG00000266028.8	23	22	FALSE	0	3671	0	0	0	0
ENST00000577571.5	full-splice_match	full-splice_match	multi-exon	multi-exon	128	0	128	0	0	0	0	0	ENST00000577571.5	ENST00000577571.5	ENSG00000266094.8	ENSG00000266094.8	5	5	FALSE	0	2573	-128	0	0	0
ENST00000367079.3	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367079.3	ENST00000367079.3	ENSG00000123836.15	ENSG00000123836.15	15	14	FALSE	0	2081	0	0	0	0
ENST00000314754.12	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000314754.12	ENST00000314754.12	ENSG00000196352.17	ENSG00000196352.17	11	11	FALSE	0	900	0	0	0	0
ENST00000367064.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367064.9	ENST00000367064.9	ENSG00000196352.17	ENSG00000196352.17	10	10	FALSE	0	1447	0	0	0	0
ENST00000360212.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000360212.6	ENST00000360212.6	ENSG00000117335.20	ENSG00000117335.20	10	10	FALSE	0	2016	0	0	0	0
ENST00000480003.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000480003.5	ENST00000480003.5	ENSG00000117335.20	ENSG00000117335.20	11	11	FALSE	0	148	0	0	0	0
ENST00000483048.1	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	1226	566	1226	-566	188845	0	188845	0	ENST00000483048.1	ENST00000367033.4	ENSG00000076356.7	ENSG00000076356.7	3	3	FALSE	0	576	-1226	-566	35	0
ENST00000356082.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000356082.9	ENST00000356082.9	ENSG00000196878.15	ENSG00000196878.15	23	22	FALSE	0	498	0	0	0	0
ENST00000367019.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367019.5	ENST00000367019.5	ENSG00000143469.20	ENSG00000143469.20	9	9	FALSE	0	1275	0	0	0	0
ENST00000472886.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000472886.5	ENST00000472886.5	ENSG00000143469.20	ENSG00000143469.20	8	8	FALSE	0	1301	0	0	0	0
ENST00000367012.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367012.4	ENST00000367012.4	ENSG00000082497.12	ENSG00000082497.12	4	3	FALSE	0	4154	0	0	0	0
ENST00000367006.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367006.8	ENST00000367006.8	ENSG00000117625.14	ENSG00000117625.14	11	11	FALSE	0	1217	0	0	0	0
ENST00000367005.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367005.8	ENST00000367005.8	ENSG00000117625.14	ENSG00000117625.14	11	11	FALSE	0	2761	0	0	0	0
ENST00000367002.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000367002.5	ENST00000367002.5	ENSG00000198570.7	ENSG00000198570.7	3	2	FALSE	0	2926	0	0	0	0
ENST00000366992.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366992.7	ENST00000366992.7	ENSG00000143493.13	ENSG00000143493.13	20	20	FALSE	0	554	0	0	0	0
ENST00000366994.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366994.8	ENST00000366994.8	ENSG00000143493.13	ENSG00000143493.13	20	20	FALSE	0	1544	0	0	0	0
ENST00000366988.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366988.5	ENST00000366988.5	ENSG00000117691.10	ENSG00000117691.10	4	4	FALSE	0	400	0	0	0	0
ENST00000479589.5	full-splice_match	novel_in_catalog	multi-exon	combination_of_known_splicesites	0	236	0	-236	NA	NA	0	-1632	ENST00000479589.5	novel	ENSG00000117691.10	ENSG00000117691.10	3	2	TRUE	1	399	0	-236		
ENST00000465155.5	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	88	0	-3	0	0	856	0	-856	ENST00000465155.5	ENST00000464547.5	ENSG00000162772.17	ENSG00000162772.17	3	2	FALSE	0	1178	-88	0	0	12
ENST00000366976.3	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366976.3	ENST00000366976.3	ENSG00000117697.15	ENSG00000117697.15	5	5	FALSE	0	206	0	0	0	0
ENST00000487995.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	142	0	-142	0	44810	0	-44810	ENST00000487995.1	ENST00000626725.1	ENSG00000117697.15	ENSG00000117697.15	3	3	FALSE	0	93	0	-142	0	6
ENST00000366973.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366973.8	ENST00000366973.8	ENSG00000203705.11	ENSG00000203705.11	10	10	FALSE	0	1502	0	0	0	0
ENST00000526641.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000526641.5	ENST00000526641.5	ENSG00000203705.11	ENSG00000203705.11	9	9	FALSE	0	314	0	0	0	0
ENST00000526997.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000526997.5	ENST00000526997.5	ENSG00000203705.11	ENSG00000203705.11	9	9	FALSE	0	221	0	0	0	0
ENST00000532433.5	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	6110	0	-623	ENST00000532433.5	ENST00000530441.5	ENSG00000203705.11	ENSG00000203705.11	3	3	FALSE	0	378	0	0	0	10
ENST00000366962.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366962.8	ENST00000366962.8	ENSG00000174606.14	ENSG00000174606.14	9	9	FALSE	0	3058	0	0	0	0
ENST00000366958.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	258	0	-250	0	0	0	0	ENST00000366958.9	ENST00000366958.9	ENSG00000117707.16	ENSG00000117707.16	5	4	FALSE	0	5999	0	-258	0	0
ENST00000366957.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366957.10	ENST00000366957.10	ENSG00000143499.14	ENSG00000143499.14	12	12	FALSE	0	446	0	0	0	0
ENST00000460580.5	full-splice_match	novel_in_catalog	multi-exon	combination_of_known_splicesites	0	0	0	0	NA	NA	0	-21885	ENST00000460580.5	novel	ENSG00000143499.14	ENSG00000143499.14	11	2	TRUE	9	1366	0	0		
ENST00000366942.3	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366942.3	ENST00000366942.3	ENSG00000042781.14	ENSG00000042781.14	21	20	FALSE	0	1682	0	0	0	0
ENST00000366934.3	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366934.3	ENST00000366934.3	ENSG00000092978.11	ENSG00000092978.11	6	6	FALSE	0	2090	0	0	0	0
ENST00000366929.4	full-splice_match	full-splice_match	multi-exon	multi-exon	83	0	83	0	0	0	0	0	ENST00000366929.4	ENST00000366929.4	ENSG00000092969.12	ENSG00000092969.12	8	8	FALSE	0	3644	-83	0	0	0
ENST00000366928.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366928.10	ENST00000366928.10	ENSG00000143353.12	ENSG00000143353.12	5	5	FALSE	0	1146	0	0	0	0
ENST00000366922.3	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366922.3	ENST00000366922.3	ENSG00000067704.10	ENSG00000067704.10	23	23	FALSE	0	494	0	0	0	0
ENST00000684982.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	12119	0	-2027	ENST00000684982.1	ENST00000689820.1	ENSG00000118873.17	ENSG00000118873.17	4	4	FALSE	0	407	0	0	0	1
ENST00000462353.1	full-splice_match	novel_not_in_catalog	multi-exon	at_least_one_novel_splicesite	0	0	0	0	NA	NA	0	-56780	ENST00000462353.1	novel	ENSG00000118873.17	ENSG00000118873.17	2	2	FALSE	0	1678	0	0		
ENST00000402574.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000402574.5	ENST00000402574.5	ENSG00000116141.17	ENSG00000116141.17	17	17	FALSE	0	2933	0	0	0	0
ENST00000485104.2	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	17244	0	1751	ENST00000485104.2	ENST00000679033.1	ENSG00000116141.17	ENSG00000116141.17	3	3	FALSE	0	902	0	0	0	9
ENST00000611084.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000611084.4	ENST00000611084.4	ENSG00000116141.17	ENSG00000116141.17	18	18	FALSE	0	2933	0	0	0	0
ENST00000678922.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	167	0	-167	0	26050	0	-26050	ENST00000678922.1	ENST00000366917.6	ENSG00000116141.17	ENSG00000116141.17	13	13	FALSE	0	948	0	-167	0	87
ENST00000366913.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366913.8	ENST00000366913.8	ENSG00000117791.16	ENSG00000117791.16	8	7	TRUE	1	1141	0	0	0	0
ENST00000366910.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366910.10	ENST00000366910.10	ENSG00000186205.13	ENSG00000186205.13	7	7	FALSE	0	6276	0	0	0	0
ENST00000366899.4	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366899.4	ENST00000366899.4	ENSG00000143507.18	ENSG00000143507.18	4	3	FALSE	0	1143	0	0	0	0
ENST00000352967.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000352967.9	ENST00000350027.8	ENSG00000143498.18	ENSG00000143498.18	11	10	FALSE	0	560	0	0	0	0
ENST00000340535.11	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000340535.11	ENST00000340535.11	ENSG00000154305.18	ENSG00000154305.18	23	23	FALSE	0	380	0	0	0	0
ENST00000340020.11	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000340020.11	ENST00000340020.11	ENSG00000186063.13	ENSG00000186063.13	10	10	FALSE	0	2057	0	0	0	0
ENST00000340934.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000340934.10	ENST00000340934.10	ENSG00000162819.12	ENSG00000162819.12	13	12	FALSE	0	2871	0	0	0	0
ENST00000366878.9	full-splice_match	novel_in_catalog	multi-exon	combination_of_known_junctions	0	0	0	0	NA	NA	0	-3393	ENST00000366878.9	novel	ENSG00000143502.16	ENSG00000143502.16	9	3	TRUE	6	2782	0	0		
ENST00000295006.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000295006.6	ENST00000295006.6	ENSG00000162909.18	ENSG00000162909.18	21	21	FALSE	0	1266	0	0	0	0
ENST00000366862.10	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366862.10	ENST00000366862.10	ENSG00000143756.12	ENSG00000143756.12	5	5	FALSE	0	4323	0	0	0	0
ENST00000323699.9	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000323699.9	ENST00000323699.9	ENSG00000143753.13	ENSG00000143753.13	3	3	FALSE	0	1063	0	0	0	0
ENST00000391875.6	full-splice_match	novel_in_catalog	multi-exon	combination_of_known_splicesites	0	0	0	0	NA	NA	0	0	ENST00000391875.6	novel	ENSG00000143748.18	ENSG00000143748.18	22	2	TRUE	20	2742	0	0		
ENST00000465271.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000465271.6	ENST00000465271.6	ENSG00000143771.12	ENSG00000143771.12	5	5	FALSE	0	3679	0	0	0	0
ENST00000483512.5	full-splice_match	intergenic	multi-exon	multi-exon	0	0	0	0	NA	NA	NA	NA	ENST00000483512.5	novel	ENSG00000143786.8	novelGene_4	3	2	FALSE	0	836	0	0		
ENST00000366850.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000366850.7	ENST00000366850.7	ENSG00000185842.16	ENSG00000185842.16	7	6	FALSE	0	419	0	0	0	0
ENST00000498108.5	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	151561	0	66141	0	ENST00000498108.5	ENST00000366843.7	ENSG00000154380.18	ENSG00000154380.18	3	3	FALSE	0	482	0	0	59	0
ENST00000650651.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000650651.1	ENST00000650651.1	ENSG00000143742.14	ENSG00000143742.14	3	3	FALSE	0	401	0	0	0	0
ENST00000651653.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000651653.1	ENST00000619790.4	ENSG00000143742.14	ENSG00000143742.14	3	3	FALSE	0	276	0	0	0	0
ENST00000651761.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000651761.1	ENST00000651761.1	ENSG00000143742.14	ENSG00000143742.14	3	3	FALSE	0	1264	0	0	0	0
