Transcript length (including UTRs and CDS)	Gene name
528	SBF1
1375	LINC02426
1055	LINC02426
1522	LINC00879
1065	LINC00879
1044	LINC00879
631	LINC00879
757	LINC00879
1027	LINC00879
1050	LINC00879
578	LINC00879
1322	LINC00879
649	LINC00879
1022	LINC00879
1043	LINC00879
884	LINC00879
1085	LINC00879
607	LINC00879
874	LINC00879
702	LINC00879
1763	LINC00879
491	LINC00879
1021	LINC00879
857	LINC00879
1296	LINC00879
965	LINC00879
852	LINC00879
1460	LINC00879
1200	LINC00879
908	LINC00879
1082	LINC00879
1024	LINC00879
1146	LINC00879
1161	LINC00879
1174	LINC00879
1058	LINC00879
1133	LINC00879
973	LINC00879
476	LINC00879
1029	LINC00879
1183	LINC00879
1296	SUCLG2P2
2846	ANKRD26
3045	ANKRD26
1752	ANKRD26
761	ANKRD26
6775	ANKRD26
1920	ANKRD26
3314	ANKRD26
5564	ANKRD26
3272	ANKRD26
3089	ANKRD26
2599	ANKRD26
632	ANKRD26
1980	ANKRD26
2145	ANKRD26
1143	ANKRD26
1342	ANKRD26
2489	ANKRD26
525	ANKRD26
724	ANKRD26
741	LINC02420
645	LRP1-AS
325	LRP1-AS
348	EEF1B2P4
1816	SMAD5-AS1
309	MRPL57P6
1579	MOG
1533	MOG
1677	MOG
1722	MOG
1560	MOG
1608	MOG
2138	MOG
1858	MOG
2495	MOG
1727	MOG
1977	MOG
390	MOG
13488	KCTD16
13950	KCTD16
4036	CDK17
2442	CDK17
1769	CDK17
892	CDK17
482	CDK17
506	CDK17
575	CDK17
569	CDK17
626	CDK17
583	CDK17
556	CDK17
566	CDK17
473	RPL23AP44
483	RPL21P59
130	SCARNA23
2400	
678	EEF1B2P3
3315	INPP5E
3417	INPP5E
261	INPP5E
532	INPP5E
264	INPP5E
4311	INPP5E
2893	ARX
87	ARX
144	ARX
100	ARX
1701	HAND1
3700	PHF3
2787	PHF3
3074	PHF3
2854	PHF3
18797	PHF3
7124	PHF3
2969	PHF3
486	PHF3
529	PHF3
612	PHF3
838	PHF3
6947	PHF3
6393	
2572	C9orf163
2573	C9orf163
420	IFITM4P
546	LINC02713
774	LINC02713
763	LINC02713
750	LINC02713
1109	LINC02713
712	LINC02713
1021	LINC02713
691	PAFAH1B2P1
291	RN7SL91P
1906	FSD1L
7730	FSD1L
1836	FSD1L
1711	FSD1L
1947	FSD1L
566	FSD1L
7062	FSD1L
358	RPL34P23
273	CKS1BP5
183	BTG4P1
7684	SMARCA5
529	SMARCA5
363	SMARCA5
3635	
1308	AHCYP7
531	LINC01884
825	LINC01884
716	LINC01884
803	LINC01884
549	LINC01884
775	LINC01884
743	LINC01884
589	LINC01884
1401	LINC01884
662	LINC03015
715	PTTG1
434	PTTG1
684	PTTG1
851	PTTG1
895	PTTG1
1070	PTTG1
670	PTTG1
3236	STX3
6154	STX3
1024	STX3
3111	STX3
1571	STX3
690	STX3
615	STX3
534	STX3
1015	FAM20C
652	USP8
582	USP8
19026	USP8
3559	USP8
616	USP8
525	USP8
1917	USP8
18865	USP8
1449	USP8
1568	USP8
410	USP8
609	USP8
498	USP8
432	USP8
815	USP8
535	USP8
556	USP8
2402	USP8
737	USP8
591	LINC03014
107	RNU6-1274P
612	RPL13AP5
96	MIR607
270	HMGN2P35
1650	C16orf95
487	C16orf95
842	C16orf95
525	C16orf95
953	C16orf95
1113	C16orf95
974	C16orf95
597	LINC01318
7964	SLIT1
490	SLIT1
4564	SLIT1
2345	SLIT1
1695	SLIT1
500	SLIT1
948	SLIT1
1923	PIRAT1
1261	PIRAT1
551	PIRAT1
2098	PIRAT1
588	PIRAT1
671	PIRAT1
731	PIRAT1
597	PIRAT1
676	ZMYND10
1774	ZMYND10
1757	ZMYND10
1773	ZMYND10
1072	ZMYND10
707	ZMYND10
633	ZMYND10
562	ZMYND10
423	ZMYND10
417	ZFX-AS1
348	RPS26P58
1830	LST1
1561	LST1
604	ZFYVE9P2
2890	TPBG
545	MRTFB
4351	MRTFB
8804	MRTFB
3309	MRTFB
618	MRTFB
486	MRTFB
466	MRTFB
389	MRTFB
2185	MRTFB
1938	MRTFB
7897	MRTFB
696	MRTFB
8608	MRTFB
3709	KCNG3
3656	KCNG3
5875	TSPYL1
5073	TSPYL1
8428	SIM1
565	SIM1
1609	SIM1
3999	SIM1
509	LINC01479
444	LINC01479
5413	ARHGEF9
4702	ARHGEF9
2217	ARHGEF9
4644	ARHGEF9
5117	ARHGEF9
5001	ARHGEF9
5059	ARHGEF9
3876	ARHGEF9
4886	ARHGEF9
5285	ARHGEF9
5113	ARHGEF9
5682	ARHGEF9
4657	ARHGEF9
5114	ARHGEF9
4775	ARHGEF9
3758	ARHGEF9
2143	ARHGEF9
2556	ARHGEF9
1888	ARHGEF9
1761	ARHGEF9
2227	ARHGEF9
2145	ARHGEF9
515	ARHGEF9
627	ARHGEF9
530	ARHGEF9
2179	ARHGEF9
2364	ARHGEF9
2154	ARHGEF9
1920	ARHGEF9
2112	ARHGEF9
5436	ARHGEF9
4097	ARHGEF9
7173	ARHGEF9
133	ARHGEF9
2455	ARHGEF9
582	ARHGEF9
618	ARHGEF9
584	ARHGEF9
578	ARHGEF9
547	ARHGEF9
100	ARHGEF9
787	ARHGEF9
1692	DBIL5P2
253	DBIL5P2
6232	RALGAPA1P1
906	FKTN-AS1
713	BLTP3B
5198	BLTP3B
4088	BLTP3B
850	BLTP3B
2023	BLTP3B
542	BLTP3B
664	BLTP3B
581	BLTP3B
560	BLTP3B
559	BLTP3B
668	TAL2
939	FBXL12P1
3540	CDK20
5503	CDK20
2176	CDK20
2301	CDK20
1907	CDK20
1860	CDK20
2149	CDK20
2021	CDK20
1170	CDK20
573	CDK20
690	MEIS1-AS2
586	MEIS1-AS2
1813	MEIS1-AS2
1273	OR2J1
2695	MUCL3
6026	NUP153
5811	NUP153
6030	NUP153
2564	
1668	
316	RPL10P17
861	RBP7
625	RBP7
2652	LINC03074
847	LINC03074
412	LINC03074
558	LINC03074
674	LINC03074
3024	EFEMP1
1809	EFEMP1
2708	EFEMP1
1007	EFEMP1
733	EFEMP1
563	EFEMP1
572	EFEMP1
559	EFEMP1
558	EFEMP1
552	EFEMP1
547	EFEMP1
588	EFEMP1
339	EFEMP1
604	EFEMP1
1273	ADAM20P2
1515	PON2
1726	PON2
1610	PON2
1876	PON2
699	PON2
1099	PON2
627	PON2
645	PON2
566	PON2
694	PON2
570	PON2
550	PON2
555	PON2
569	PON2
579	PON2
451	PON2
573	PON2
1653	PON2
1344	EEF1A1P21
429	LINC02512
5197	GPR157
198	GPR157
458	GPR157
1466	
1395	LINC02433
1117	LINC02433
1019	LINC02433
2001	FEZF2
2112	FEZF2
1918	FEZF2
3242	TSPAN5
3347	TSPAN5
1191	TSPAN5
4062	TSPAN5
605	TSPAN5
539	TSPAN5
574	TSPAN5
710	TSPAN5
581	TSPAN5
540	TSPAN5
991	HTATSF1P1
2000	ZBTB40
1855	ZBTB40
8701	ZBTB40
8992	ZBTB40
8368	ZBTB40
1464	HCP5
924	IL3
349	HLA-F-AS1
428	HLA-F-AS1
1481	FLOT1
695	FLOT1
547	FLOT1
513	FLOT1
246	FLOT1
495	FLOT1
623	FLOT1
416	FLOT1
347	FLOT1
186	FLOT1
1850	ARMC10
1844	ARMC10
1667	ARMC10
1660	ARMC10
2238	ARMC10
841	ARMC10
688	ARMC10
731	ARMC10
274	ARMC10
900	GUCA1C
977	GUCA1C
633	GUCA1C
1964	JHY
7057	JHY
2782	JHY
1063	JHY
265	RPL23AP95
1822	NAPEPLD
575	NAPEPLD
4972	NAPEPLD
4988	NAPEPLD
565	NAPEPLD
2380	NAPEPLD
2169	NAPEPLD
2672	NAPEPLD
658	NAPEPLD
4060	NAPEPLD
947	CRYZP1
1334	DPY19L2P2
1087	HLA-B
864	HLA-B
958	DPY19L2P2
1404	DPY19L2P2
1613	DPY19L2P2
1710	DPY19L2P2
3187	ASB14
909	ASB14
3175	ASB14
5150	SMARCE1
5796	SMARCE1
2502	SMARCE1
8466	SMARCE1
2388	SMARCE1
2840	SMARCE1
2488	SMARCE1
2906	SMARCE1
2283	SMARCE1
3644	SMARCE1
2832	SMARCE1
2298	SMARCE1
2491	SMARCE1
3405	SMARCE1
2811	SMARCE1
2600	SMARCE1
2305	SMARCE1
2348	SMARCE1
4146	SMARCE1
2492	SMARCE1
2856	SMARCE1
2229	SMARCE1
2997	SMARCE1
2496	SMARCE1
1971	SMARCE1
2575	SMARCE1
2026	SMARCE1
1569	SMARCE1
2519	SMARCE1
1704	SMARCE1
2376	SMARCE1
1973	SMARCE1
1631	SMARCE1
2118	SMARCE1
1320	SMARCE1
1086	SMARCE1
888	SMARCE1
1096	SMARCE1
584	SMARCE1
2271	SMARCE1
2319	SMARCE1
2377	SMARCE1
733	SMARCE1
488	SMARCE1
476	SMARCE1
559	SMARCE1
581	SMARCE1
789	SMARCE1
734	SMARCE1
2156	SMARCE1
2828	SMARCE1
3053	EIF3CL
2913	EIF3CL
124	HMGB1P22
4208	AGTPBP1
4464	AGTPBP1
4222	AGTPBP1
667	AGTPBP1
914	AGTPBP1
789	AGTPBP1
787	AGTPBP1
4473	AGTPBP1
978	LINC02098
475	LINC02098
775	LINC02098
438	LINC02098
2118	CYP21A2
589	CYP21A2
2134	CYP21A2
1947	CYP21A2
2108	CYP21A2
2162	CYP21A2
600	CYP21A2
580	CYP21A2
579	CYP21A2
1939	CYP21A2
3144	FDX1
9226	ARHGAP26
9395	ARHGAP26
3923	ARHGAP26
564	ARHGAP26
1228	ARHGAP26
806	ARHGAP26
527	ARHGAP26
566	ARHGAP26
676	ARHGAP26
513	ARHGAP26
521	ARHGAP26
556	ARHGAP26
293	ARHGAP26
2870	ARHGAP26
1632	ARHGAP26
412	ARHGAP26
565	ARHGAP26
559	ARHGAP26
407	ARHGAP26
4752	ARHGAP26
3310	ARHGAP26
783	ARHGAP26
782	ARHGAP26
6309	PPM1K
1940	PPM1K
923	PPM1K
572	PPM1K
582	PPM1K
1091	PPM1K
4777	PPM1K
2962	PPM1K
566	PPM1K
563	PPM1K
2964	COL8A1
832	COL8A1
841	COL8A1
659	COL8A1
5705	COL8A1
948	COL8A1
190	COL8A1
5515	COL8A1
3029	COL8A1
2734	GPR31
1692	FARS2
562	FARS2
3884	FARS2
1679	FARS2
434	FARS2
13770	ZNF469
13203	ZNF469
2977	TRIM29
1632	TRIM29
1836	TRIM29
1227	TRIM29
285	TRIM29
965	TRIM29
514	TRIM29
535	TRIM29
548	TRIM29
2217	TRIM29
1233	TRIM29
1702	TRIM29
314	TRIM29
385	TRIM29
771	TRIM29
673	TRIM29
547	TRIM29
551	TRIM29
555	TRIM29
549	TRIM29
510	TRIM29
3128	EIF3C
2910	EIF3C
3137	EIF3C
581	EIF3C
2870	EIF3C
2986	EIF3C
516	EIF3C
572	EIF3C
588	EIF3C
3957	EIF3C
586	EIF3C
620	EIF3C
610	EIF3C
424	EIF3C
1348	KATNAL2
3136	KATNAL2
3404	KATNAL2
3327	KATNAL2
2435	KATNAL2
2138	KATNAL2
3618	KATNAL2
3689	KATNAL2
2325	KATNAL2
2483	KATNAL2
2605	KATNAL2
3324	KATNAL2
2409	KATNAL2
4964	KATNAL2
1757	KATNAL2
2417	KATNAL2
1238	KATNAL2
2063	KATNAL2
948	KATNAL2
865	KATNAL2
2893	KATNAL2
3549	KATNAL2
2709	KATNAL2
1940	KATNAL2
464	KATNAL2
5283	CMKLR1
1890	CMKLR1
5488	CMKLR1
632	CMKLR1
555	CMKLR1
5110	CMKLR1
2880	TAPBP
3677	TAPBP
3759	TAPBP
3495	TAPBP
817	TAPBP
3967	NPHP4
4370	NPHP4
4467	NPHP4
5548	NPHP4
4955	NPHP4
4213	NPHP4
781	NPHP4
570	NPHP4
3156	NPHP4
1192	NPHP4
3004	NPHP4
855	ARMC10P1
407	H3P12
3129	PRDM13
3232	PRDM13
2762	FSHR
2176	FSHR
851	FSHR
548	FSHR
936	FSHR
512	LINC01099
578	LINC01099
758	LINC01099
4701	ALCAM
1770	ALCAM
4189	ALCAM
1242	ALCAM
1818	ALCAM
564	ALCAM
2496	ALCAM
2845	ALCAM
783	ALCAM
886	WASHC3
882	WASHC3
945	WASHC3
865	WASHC3
883	WASHC3
921	WASHC3
879	WASHC3
477	WASHC3
688	WASHC3
569	WASHC3
588	WASHC3
843	WASHC3
289	WASHC3
689	SLIT1-AS1
1375	SLIT1-AS1
572	SLIT1-AS1
2455	CIBAR1P2
877	CIBAR1P2
1383	DTNBP1
1010	DTNBP1
1404	DTNBP1
1306	DTNBP1
1518	DTNBP1
498	DTNBP1
1880	DTNBP1
1542	DTNBP1
866	DTNBP1
843	DTNBP1
1305	DTNBP1
1359	DTNBP1
967	EIF3IP1
3989	NET1
599	NET1
637	NET1
3253	NET1
403	NET1
757	NET1
7038	FNIP2
3704	FNIP2
484	FNIP2
2173	FNIP2
724	FNIP2
473	FNIP2
7296	DENND11
1847	DENND11
2262	WEE2-AS1
1412	WEE2-AS1
1258	WEE2-AS1
2259	WEE2-AS1
1724	WEE2-AS1
565	WEE2-AS1
580	WEE2-AS1
676	WEE2-AS1
670	WEE2-AS1
531	WEE2-AS1
536	SSBP1
2620	SSBP1
592	SSBP1
1434	SSBP1
516	SSBP1
626	SSBP1
457	SSBP1
1694	SSBP1
600	SSBP1
495	SSBP1
800	SSBP1
525	SSBP1
470	SSBP1
838	SSBP1
4261	HCG18
1723	MC5R
1319	MC5R
3987	DDR1-DT
358	AGK
904	AGK
3001	AGK
567	AGK
5064	MBD2
241	MBD2
701	MBD2
1237	MBD2
1182	MBD2
3061	WEE2
610	WEE2
1385	HLA-DQA1
1206	HLA-DQA1
696	HLA-DQA1
1548	HLA-DQA1
736	HLA-DQA1
1001	HLA-DQA1
2104	HLA-DQA1
7362	HLA-DQA1
646	HLA-DQA1
461	HLA-T
1561	HLA-B
585	HLA-B
1005	HLA-B
759	HLA-B
2762	NPY1R
1017	NPY1R
536	NPY1R
568	NPY1R
559	NPY1R
799	NPY1R
753	NPY1R
1245	IZUMO3
743	IZUMO3
381	IZUMO3
3549	TRIM10
3009	TRIM10
129	SNORA37
1683	
11795	KIAA1958
2643	KIAA1958
7650	KIAA1958
6020	POLI
2030	POLI
585	POLI
2705	POLI
1204	POLI
2536	POLI
2289	POLI
577	POLI
543	POLI
754	POLI
1734	POLI
654	POLI
786	POLI
592	POLI
583	POLI
801	POLI
450	RPS13P3
933	TMA16
1749	TMA16
803	TMA16
554	TMA16
1195	TMA16
747	TMA16
608	TMA16
843	TMA16
630	TMA16
874	CALML5
4825	EHD3
838	CCDC137P1
8739	CALML3-AS1
921	CALML3-AS1
560	CALML3-AS1
579	CALML3-AS1
570	CFAP20DC-AS1
1894	CFAP20DC-AS1
1782	CFAP20DC-AS1
2203	CFAP20DC-AS1
2092	CFAP20DC-AS1
1731	CFAP20DC-AS1
1811	CALML3
118	RNA5SP395
6277	ZFP37
2451	ZFP37
1969	ZFP37
731	HLA-P
7596	ATXN7L3B
4216	
4052	
297	USP50
622	USP50
720	USP50
1691	USP50
1353	USP50
1419	USP50
603	USP50
725	USP50
678	USP50
451	USP50
595	USP50
7005	TRIM27
689	TRIM27
478	AK6P1
293	RN7SL445P
683	ASB13
2717	ASB13
2780	ASB13
2565	ASB13
489	ASB13
2306	
5720	GNPTAB
550	GNPTAB
598	GNPTAB
570	GNPTAB
601	GNPTAB
1678	GNPTAB
2267	GNPTAB
787	GNPTAB
715	GNPTAB
760	GNPTAB
373	GNPTAB
503	HLA-DRB2
3227	TRIM26
3448	TRIM26
1041	TRIM26
554	TRIM26
473	TRIM26
552	TRIM26
1487	NTMT1
1530	NTMT1
576	NTMT1
1123	NTMT1
1072	NTMT1
741	NTMT1
852	NTMT1
624	NTMT1
1346	NTMT1
1501	NTMT1
1562	NTMT1
563	PTPRN2
114	PTPRN2
5157	DDX39B
7348	PAPOLG
4193	PAPOLG
3511	PAPOLG
3324	PAPOLG
539	PAPOLG
6074	PAPOLG
686	PAPOLG
10084	TNXB
2852	TNXB
830	TRPM7
10382	TRPM7
7218	TRPM7
1193	TRPM7
732	TRPM7
465	TRPM7
624	TRPM7
423	TRPM7
987	TRPM7
2518	TRPM7
2840	
1387	TSEN2P1
2297	GDI2
2499	GDI2
834	GDI2
1408	GDI2
918	GDI2
636	GDI2
634	GDI2
584	GDI2
622	GDI2
278	HIGD1AP3
1961	RNF39
2161	RNF39
440	SCGB3A2
549	SCGB3A2
672	SCGB3A2
516	SCGB3A2
2058	TFAP2D
697	TFAP2D
5032	RNF144B
457	RNF144B
709	RPS4XP12
903	SGCE
1977	SGCE
1359	SGCE
1672	SGCE
927	SGCE
1868	SGCE
1733	SGCE
805	SGCE
386	SGCE
408	SGCE
1634	SGCE
1704	SGCE
1532	SGCE
1652	SGCE
2356	SGCE
2361	SGCE
1686	SGCE
2325	SGCE
1713	SGCE
1656	SGCE
1760	SGCE
1895	SGCE
891	SGCE
1755	SGCE
2420	SGCE
4072	SGCE
1417	SGCE
1667	SGCE
2473	SGCE
1739	SGCE
1677	SGCE
1715	SGCE
1475	SGCE
1399	SGCE
1724	SGCE
1745	SGCE
1701	SGCE
1436	SGCE
1323	SGCE
1533	SGCE
1781	SGCE
1586	SGCE
1566	SGCE
1779	SGCE
1613	SGCE
1696	SGCE
1670	SGCE
1830	SGCE
1538	SGCE
1564	SGCE
1492	SGCE
1592	SGCE
1382	SGCE
1493	SGCE
1646	SGCE
1577	SGCE
6270	SGCE
1601	SGCE
2390	SGCE
1369	SGCE
1697	SGCE
3082	SGCE
1284	SGCE
1360	SGCE
2036	SGCE
1554	SGCE
1610	SGCE
1368	SGCE
2292	SGCE
453	SGCE
2332	SGCE
3474	SGCE
2575	SGCE
1979	SGCE
1204	SGCE
815	SGCE
2949	SGCE
1462	SGCE
1692	SGCE
1637	SGCE
998	SGCE
661	SGCE
837	SGCE
872	SGCE
418	SGCE
804	SGCE
2607	SGCE
690	SGCE
519	SGCE
395	SGCE
2353	SGCE
1722	SGCE
1477	SGCE
586	PKNOX2-DT
5436	HLA-A
1257	HLA-A
865	LINC02229
3892	HAL
2804	HAL
2637	HAL
2271	HAL
753	HAL
370	HAL
1026	HAL
450	HAL
352	HAL
697	HAL
3846	HAL
1697	PXDC1
1538	PXDC1
1878	PXDC1
532	PXDC1
4907	DELE1
2203	DELE1
998	DELE1
833	DELE1
686	DELE1
1342	DELE1
712	DELE1
995	HTATSF1P1
1189	PDLIM5
6043	PDLIM5
802	PDLIM5
372	PDLIM5
743	PDLIM5
2081	PDLIM5
538	PDLIM5
1853	PDLIM5
2979	PDLIM5
1794	PDLIM5
3356	PDLIM5
463	PDLIM5
554	PDLIM5
794	PDLIM5
480	PDLIM5
547	PDLIM5
3098	PDLIM5
907	PDLIM5
1960	PDLIM5
2020	PDLIM5
5713	PDLIM5
6219	PDLIM5
6891	ARHGEF12
10326	ARHGEF12
8753	ARHGEF12
3786	ARHGEF12
4309	ARHGEF12
2647	ARHGEF12
468	ARHGEF12
1099	ARHGEF12
2795	ARHGEF12
1350	ARHGEF12
1930	ARHGEF12
3108	ARHGEF12
1323	ARHGEF12
433	ARHGEF12
176	ARHGEF28P1
1619	BRD7P7
7513	IYD
8622	IYD
994	IYD
882	IYD
1180	IYD
2158	IYD
400	IYD
551	IYD
684	IYD
544	RAP1BP2
1880	MSANTD3
780	MSANTD3
786	MSANTD3
710	MSANTD3
1991	MSANTD3
1748	MSANTD3
1755	MSANTD3
610	RPL14P2
6473	
5703	C18orf54
776	C18orf54
2096	C18orf54
4056	C18orf54
5237	C18orf54
462	C18orf54
389	C18orf54
1324	HES5
9978	EIF4E3
2764	EIF4E3
531	EIF4E3
567	EIF4E3
777	EIF4E3
693	EIF4E3
613	EIF4E3
519	EIF4E3
6209	EIF4E3
6083	EIF4E3
2263	ABHD16A
1925	ABHD16A
2068	ABHD16A
266	DYNLL1P3
3984	DDR1-DT
753	HLA-C
1277	HLA-C
1553	HLA-C
1502	HLA-C
1451	HLA-C
1537	HLA-C
1579	HLA-C
857	HLA-C
961	OLFM1
1014	OLFM1
2591	OLFM1
568	OLFM1
542	OLFM1
2492	OLFM1
546	OLFM1
1057	OLFM1
2782	OLFM1
791	OLFM1
727	OLFM1
2624	OLFM1
880	DDAH2
3057	POLR1HASP
1498	POLR1HASP
330	KIFC1
5	KIFC1
265	FAM20C
911	APOM
710	APOM
1143	FAM157D
507	FAM157D
5460	C4B_2
508	C4B_2
405	C4B_2
878	C4B_2
377	C4B_2
874	C4B_2
628	C4B_2
583	C4B_2
1257	C4B_2
1064	C4B_2
847	C4B_2
974	C4B_2
524	C4B_2
5148	C4B_2
788	NRBF2P5
489	RPL12P28
364	HLA-DPB2
370	CYP21A1P
704	LASTR
1109	LASTR
822	LASTR
1408	LASTR
829	LASTR
892	LASTR
1105	LASTR
866	LASTR
479	LASTR
739	LASTR
1060	LASTR
548	LASTR
834	LASTR
946	LASTR
901	LASTR
1266	LASTR
816	LASTR
1037	LASTR
1017	LASTR
3425	HLA-V
4635	HLA-V
127	TAF9P3
257	DDX39BP2
1394	EEF1A1P7
111	RPS29P30
13545	WTIP
667	WTIP
2658	CEP55
747	CEP55
710	CEP55
466	SLC22A16
1968	SLC22A16
1959	SLC22A16
2033	SLC22A16
1021	SLC22A16
1213	SLC22A16
737	SLC22A16
1709	SLC22A16
765	LINC01797
218	LINC01797
1102	LINC01797
427	LINC01797
1241	LINC01797
1513	STARD6
1371	STARD6
1018	STARD6
1305	STARD6
788	STARD6
696	STARD6
747	PGAM1P6
2818	GABRA1
2083	GABRA1
411	GABRA1
4878	GABRA1
4285	GABRA1
4238	GABRA1
4108	GABRA1
2239	GABRA1
4087	GABRA1
566	GABRA1
2262	GABRA1
414	GABRA1
100	GABRA1
4088	GABRA1
1838	GABRA1
591	GABRA1
1070	GABRA1
1739	GABRA1
3677	GABRA1
572	GABRA1
133	RNA5SP323
374	PRKCE-AS1
838	PDIK1L
4279	PDIK1L
4113	PDIK1L
4252	PDIK1L
3605	FFAR4
3653	FFAR4
1142	FFAR4
848	LINC01824
668	LINC01824
1359	LINC01824
1131	LINC01824
1111	LINC01824
1853	SSX2IPP1
2123	SLC39A4
1951	ZNF90P1
228	COX6CP6
605	LGALS16
654	LGALS16
673	RPP21
734	ST13P14
2704	GPR15
308	RN7SL617P
1953	DDO
2021	DDO
2130	DDO
512	RPS10P10
380	LINC01883
803	DRG1P2
430	IGSF21-AS1
1493	LINC01205
1331	LINC01205
1284	LINC01205
979	LINC01205
1582	LINC01205
1700	LINC01205
1317	LINC01205
1102	LINC01205
5638	SPIRE1
5533	SPIRE1
1877	SPIRE1
2109	SPIRE1
2107	SPIRE1
587	SPIRE1
1264	SPIRE1
863	SPIRE1
484	SPIRE1
548	SPIRE1
701	SPIRE1
546	SPIRE1
536	SPIRE1
1799	ZNF565
1931	ZNF565
2519	ZNF565
1217	ZNF565
583	ZNF565
566	ZNF565
446	ZNF565
394	ARHGEF9-IT1
526	BTF3P8
3358	PDE6C
476	PDE6C
2584	ZCCHC7
1219	ZCCHC7
2793	ZCCHC7
884	ZCCHC7
732	ZCCHC7
699	ZCCHC7
903	ZCCHC7
721	ZCCHC7
2828	ZCCHC7
492	PPIAP34
86	MIR1468
195	ZCCHC18
2907	ZCCHC18
2940	ZCCHC18
1241	ZCCHC18
561	ZCCHC18
312	ZCCHC18
294	RN7SL354P
2177	LAPTM5
953	LAPTM5
960	LAPTM5
3898	WRNIP1
2595	WRNIP1
2651	WRNIP1
3239	WRNIP1
1557	WRNIP1
2595	
964	LY6G6C
282	RPL32P30
1822	TMEM158
96	MIR549A
2700	ZNF311
603	PIGQ
1915	PIGQ
2958	PIGQ
586	PIGQ
2052	PIGQ
2841	PIGQ
2846	PIGQ
2112	PIGQ
100	PIGQ
2054	PIGQ
2212	PIGQ
1355	PIGQ
650	PIGQ
563	PIGQ
577	PIGQ
464	PIGQ
2000	PIGQ
932	PIGQ
936	PIGQ
2202	PIGQ
608	PIGQ
1775	PIGQ
187	PIGQ
1046	PIGQ
3978	MESD
2938	MESD
1392	MESD
981	MESD
936	MESD
539	MESD
4200	MESD
741	PAGE5
553	PAGE5
428	PAGE5
551	CD200
802	CD200
555	CD200
942	CD200
1524	CD200
2129	CD200
1997	CD200
2017	CD200
2143	LINC01149
2263	TMEM143
1960	TMEM143
2272	TMEM143
810	TMEM143
1094	TMEM143
541	TMEM143
857	TMEM143
457	TMEM143
748	TMEM143
565	TMEM143
571	TMEM143
583	TMEM143
564	TMEM143
557	HADHB
1997	HADHB
670	HADHB
1588	HADHB
696	HADHB
574	HADHB
2883	HADHB
2142	HADHB
1870	HADHB
3109	FRA10AC1
4780	FRA10AC1
398	FRA10AC1
1064	FRA10AC1
262	FRA10AC1
645	FRA10AC1
2891	TAPBP
2884	TAPBP
3097	SLC30A2
3249	SLC30A2
715	SLC30A2
2476	SERPINB1
449	SERPINB1
782	SERPINB1
872	SERPINB1
580	SERPINB1
149	Y_RNA
166	HSBP1P1
441	ADIG
658	ADIG
772	ADIG
674	ADIG
544	PJA1
2692	PJA1
2115	PJA1
2755	PJA1
2362	PJA1
887	PJA1
574	PJA1
766	HNRNPCP1
2455	
1805	HSPA8P14
471	RPL9P5
57	MIR4514
77	MIR4645
4143	SERPINB9
2471	C14orf180
574	CFAP161
572	CFAP161
1612	CFAP161
1877	ZBTB12
306	SUMO1P1
517	BAG6
787	BAG6
3656	BAG6
1455	KRT8P19
78	MIR4756
3278	CYP24A1
2227	CYP24A1
694	CYP24A1
1438	CYP24A1
380	CYP24A1
395	CYP24A1
3366	KRT77
2212	KRT77
780	KRT77
1657	SAMMSON
1046	SAMMSON
853	SAMMSON
1443	SAMMSON
1162	SAMMSON
1487	SAMMSON
1582	SAMMSON
1199	SAMMSON
1264	SAMMSON
1377	SAMMSON
1521	SAMMSON
1213	SAMMSON
1207	SAMMSON
1308	SAMMSON
1847	SAMMSON
1645	SAMMSON
2055	SAMMSON
1110	SAMMSON
1546	SAMMSON
1169	SAMMSON
2727	SAMMSON
1355	SAMMSON
868	SAMMSON
2168	SAMMSON
1100	SAMMSON
1516	SAMMSON
1368	SAMMSON
2341	TAF7L
2107	TAF7L
2180	TAF7L
597	PHACTR4
6048	PHACTR4
918	PHACTR4
3375	PHACTR4
1421	PHACTR4
3078	PHACTR4
553	PHACTR4
3107	PHACTR4
1853	PHACTR4
2536	
2151	PPP2R3B
706	ANP32BP3
1360	SLC28A1
2155	SLC28A1
2770	SLC28A1
2636	SLC28A1
1521	ZFYVE21
570	ZFYVE21
1383	ZFYVE21
636	ZFYVE21
566	ZFYVE21
364	ZFYVE21
4453	ZFYVE21
2816	ZFYVE21
430	ZFYVE21
502	ZFYVE21
542	ZFYVE21
2013	ZFYVE21
2026	HLA-DQB2
3265	SERPINB6
1495	SERPINB6
1370	SERPINB6
1315	SERPINB6
1375	SERPINB6
1638	SERPINB6
2188	SERPINB6
3489	SERPINB6
5620	SERPINB6
3599	SERPINB6
1566	SERPINB6
2120	SERPINB6
2036	SERPINB6
1384	SERPINB6
1494	SERPINB6
1313	SERPINB6
1565	SERPINB6
1467	SERPINB6
1123	SERPINB6
514	SERPINB6
452	SERPINB6
477	SERPINB6
489	SERPINB6
925	SERPINB6
536	SERPINB6
2218	GAS2L3
5736	GAS2L3
343	GAS2L3
567	GAS2L3
2742	GAS2L3
647	GAS2L3
344	GAS2L3
3948	GAS2L3
2229	GAS2L3
2278	LGI1
2251	LGI1
1114	LGI1
600	LGI1
2200	LGI1
2239	LGI1
2936	LGI1
2430	LGI1
2167	LGI1
1751	LGI1
1802	LGI1
2456	LGI1
2072	LGI1
1841	LGI1
2165	LGI1
1618	LGI1
664	LGI1
1247	LGI1
